Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
62694,"Rappahannock Solar, LLC",62780.0,"Rappahannock Solar, LLC",VA,Lancaster,100,Solar Photovoltaic,PV,,S,1.5, ,1.5,1.5, ,OP,X,11.0,2021.0,IPP Non-CHP,2.0,2022
59254,NuGen Capital Management,62781.0,"10 Briggs Solar NG, LLC (East)",RI,Kent,02818,Solar Photovoltaic,PV,,S,5.0, ,5,5, ,OP,X,6.0,2021.0,IPP Non-CHP,2.0,2022
62688,"Helios NY I, LLC",62784.0,Franklin Solar Site,NY,Franklin,FRANK,Solar Photovoltaic,PV,,S,1.6, ,1.6,1.6, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
62688,"Helios NY I, LLC",62785.0,Malone Solar Site,NY,Franklin,MALON,Solar Photovoltaic,PV,,S,1.1, ,1.1,1.1, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
61677,Sol Systems,62786.0,"Thanksgiving Fire Solar Farm, LLC",NC,Johnston,12087,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2022
60531,Standard Solar,62788.0,Sugarhill Road - Solitude Solar CSG,NY,Saratoga,X0040,Solar Photovoltaic,PV,,S,4.7, ,4.7,4.7, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
9234,Indiana Municipal Power Agency,62790.0,Tell City Solar Park,IN,Perry,STEL2,Solar Photovoltaic,PV,,W,3.2, ,3.2,2.5, ,OP,X,7.0,2020.0,Electric Utility,1.0,2022
9234,Indiana Municipal Power Agency,62791.0,Richmond Solar Park 4,IN,Wayne,SRIC4,Solar Photovoltaic,PV,,W,7.1, ,7.1,5.6, ,OP,X,10.0,2020.0,Electric Utility,1.0,2022
60370,"DG AMP Solar, LLC",62792.0,DG AMP Solar Piqua Manier,OH,Miami,AMPPM,Solar Photovoltaic,PV,,S,12.6, ,12.6,12.6, ,OP,X,7.0,2019.0,IPP Non-CHP,2.0,2022
9234,Indiana Municipal Power Agency,62793.0,Crawfordsville 5 Solar Park,IN,Montgomery,SCRA5,Solar Photovoltaic,PV,,W,9.8, ,9.8,7.8, ,OP,X,9.0,2020.0,Electric Utility,1.0,2022
