Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
TX7 Flat Top,TX7,Batteries,16.5,9.9,9.9,LIB,9.9,CS,Y,,2021
TX8 Worsham,TX8,Batteries,17.9,9.9,9.9,LIB,9.9,CS,Y,,2021
TX2 Port Lavaca,TX2,Batteries,11.9,9.9,9.9,LIB,9.9,CS,,,2021
Wilmot Energy Center LLC,WILBA,Batteries,60,30,30,LIB,1,CS,,Y,2021
Breckenridge Solar,BBA,Batteries,4.7,2.2,2.2,LIB,2.2,CS,,Y,2021
Wilmarth Solar,WILB,Batteries,4.6,2.3,2.3,LIB,2.3,CS,,Y,2021
Arlington Microgrid,AMGB,Batteries,1.4,1,1,LIB,1,CS,Y,Y,2021
"Grissom Solar, LLC",GSF02,Batteries,10,5,5,LIB,4.4,CS,,Y,2021
Volney II,VOLES,Batteries,12,3,3,LIB,2.6,CS,,Y,2021
Old Cedar Solar Energy Storage,BAT1,Batteries,2,1,1,LIB,2,CS,N,Y,2021
Gambit Energy Storage - Angleton Storage,1,Batteries,200,100,100,LIB,32.9,CS,Y,,2021
Wynwood Energy Storage,1,Batteries,40,10,10,LIB,0.5,BL,,,2021
County of San Diego COC Hybrid,ESS,Batteries,1,0.4,0.4,LIB,1,CS,,Y,2021
SEPV Sierra,1,Batteries,3.4,6,6,LIB,6,CS,Y,Y,2021
Kearsarge William Way,BWBAT,Batteries,9.5,2.6,2.6,LIB,4.4,CS,,Y,2021
Kearsarge Haverhill,HABAT,Batteries,9,2,2,LIB,2,CS,,Y,2021
Kearsarge Montague BD(CSG),MBBAT,Batteries,5.1,1.3,1.3,LIB,1.3,CS,,Y,2021
Hudson - High Desert Hybrid,BESS1,Batteries,50,50,50,LIB,50,CS,,Y,2021
Blodgett Solar CSG,BLO,Batteries,4.9,2.2,2.2,LIB,2.3,CS,,Y,2021
"Clark Road Solar 1, LLC",10605,Batteries,3,3,3,LIB,0,CS,,Y,2021
"Dunstable Solar 1, LLC",DUBLN,Batteries,20.2,4.5,4.5,LIB,0,CS,,Y,2021
Sanborn BESS 1,ESSB1,Batteries,200,100,100,LIB,67.6,CS,Y,,2021
Sanborn BESS 2,ESSB2,Batteries,400,100,100,LIB,67.6,CS,Y,,2021
Glenmere Lake,BESS,Batteries,7.5,2,2,LIB,0,CT,,Y,2021
Maple(CSG),M2,Batteries,4.8,2.2,2.2,OTH,2.3,CS,,Y,2021
Rumford ESS,RUM,Batteries,10,4.9,4.9,LIB,4.9,CS,Y,,2021
Madison BTM,MBTM,Batteries,1.5,1.5,1.5,LIB,3.1,CS,Y,,2021
Madison ESS,MESS,Batteries,4.9,4.9,4.9,LIB,5,CS,Y,,2021
Redwood Coast Airport Microgrid,RCAM2,Batteries,8.8,1.5,1.8,LIB,2.3,CS,Y,Y,2021
276 Federal Rd(CSG),276FB,Batteries,6.9,3.3,3.3,LIB,1,CS,,Y,2021
0 Hammond St CSG,OHAMB,Batteries,4.9,2.2,2.2,LIB,2.3,CS,,Y,2021
Edwards Sanborn E3,BESS,Batteries,31.5,13.2,13.2,LIB,8.3,CS,Y,Y,2021
Flower Valley I,FLRV1,Batteries,19.8,9.9,9.9,LIB,6.6,CS,Y,N,2021
Swoose I,SWOO1,Batteries,19.8,9.9,9.9,LIB,6.6,CS,Y,,2021
Triple Butte I,TRBT1,Batteries,15,7.5,7.5,LIB,3.7,CS,Y,,2021
59 Federal Rd(CSG),59FBA,Batteries,20.5,5,5,LIB,1,CS,,Y,2021
UMass Boston,BATT1,Batteries,2.1,0.5,0.5,LIB,0.5,BL,Y,,2021
Bissell Solar and Battery Generator,BISBP,Batteries,0.5,0.3,0.3,LIB,250,BL,Y,Y,2021
71 Charlotte Furnace Rd Hybrid(CSG),71CBA,Batteries,5.4,1,1,LIB,0.3,CS,,Y,2021
77 Farm to Market Rd Hybrid(CSG),77FBA,Batteries,4.8,2.2,2.2,LIB,0.7,CS,,Y,2021
160 Tihonet Rd Hybrid(CSG),160BA,Batteries,6.9,3.3,3.3,LIB,1.1,CS,,Y,2021
299 Farm to Market Rd Hybrid(CSG),299BA,Batteries,4.9,2.2,2.2,LIB,0.7,CS,,Y,2021
South Sioux City Energy Storage,SSCES,Batteries,3,1.5,1.5,LIB,1.5,CS,,,2021
196 Tremont St(CSG),196BA,Batteries,8,1.5,1.5,LIB,1,CS,,Y,2021
Cranberry Highway Solar LLC,BA1,Batteries,4.5,2,2,LIB,0.7,CS,Y,,2021
South Goshen (Community Solar),BESS,Batteries,17,4.9,4.9,LIB,5,OT,,Y,2021
Charlemont A,CMSB,Batteries,3.8,1.5,1.5,LIB,98,CS,,Y,2021
Gilead Oceanside Solar Project,GOSSB,Batteries,3,0.7,0.7,LIB,1.1,CT,,Y,2021
Gilead Foster City Solar Project,GFCSB,Batteries,0.9,0.5,0.5,LIB,1.1,CT,,Y,2021
Highland Park Borough Solar,HPBA,Batteries,2.1,0.5,0.5,LIB,0.6,BL,,,2021
Chukar Battery Energy Storage System,CHUK1,Batteries,40,10,10,LIB,3.3,CS,,Y,2021
Google Moffett Park Solar Project,GMSPB,Batteries,1.1,0.6,0.6,LIB,0.8,CS,,Y,2021
Gilead Sciences La Verne Rooftop Solar,GSRBA,Batteries,2.1,1.1,1.1,LIB,1.1,CS,,Y,2021
Brockelman Road Solar 2,15447,Batteries,2,1,1,LIB,0,CT,,Y,2021
Toyah Power Station,TOYAH,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2021
Hoef's Road Storage,HOEFS,Batteries,2,2,2,LIB,2,CS,Y,,2021
