Utility ID,Utility Name,Plant Code,Plant Name,State,Zip,County,Latitude,Longitude,NERC Region,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,time
12311,Merck & Co Inc,10224,Merck Rahway Power Plant,NJ,7065,Union,40.615616,-74.26529,RFC,7,Industrial CHP,N,,N,,N,,2020
49846,Covanta Honolulu Resource Recovery,10334,H Power,HI,96707,Honolulu,21.300036,-158.098615,,4,Commercial Non-CHP,N,,N,,N,,2020
60246,"Sunray Energy 2, LLC",10437,Sunray 2,CA,92327,San Bernardino,34.863356,-116.827627,WECC,2,IPP Non-CHP,N,,N,,N,,2020
60247,Sunray Energy 3 LLC,10438,Sunray 3,CA,92327,San Bernardino,34.863356,-116.827627,WECC,2,IPP Non-CHP,N,,N,,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10439,SEGS III,CA,93516,San Bernardino,35.00694,-117.555768,WECC,2,IPP Non-CHP,N,,Y,86-734-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10440,SEGS IV,CA,93516,San Bernardino,35.012166,-117.555672,WECC,2,IPP Non-CHP,N,,Y,86-736-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10441,SEGS V,CA,93516,San Bernardino,35.01948,-117.55553,WECC,2,IPP Non-CHP,N,,Y,87-402-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10442,SEGS VI,CA,93516,San Bernardino,35.020981,-117.566079,WECC,2,IPP Non-CHP,N,,Y,88-33-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10443,SEGS VII,CA,93516,San Bernardino,35.014836,-117.565903,WECC,2,IPP Non-CHP,N,,Y,88-34-000,N,,2020
61950,Terra-Gen Operating Co-Solar,10444,SEGS VIII,CA,92347,San Bernardino,35.0308,-117.3563,WECC,2,IPP Non-CHP,N,,Y,88-470-000,N,,2020
61950,Terra-Gen Operating Co-Solar,10446,SEGS IX,CA,92347,San Bernardino,35.033,-117.338,WECC,2,IPP Non-CHP,N,,Y,88-472-000,N,,2020
2770,Terra-Gen Operating Co-Wind,10586,Cameron Ridge LLC,CA,93501,Kern,35.075,-118.3158,WECC,2,IPP Non-CHP,N,,Y,85-348-000; 86-1008-000; 86-492-000; 86-495-000,N,,2020
2770,Terra-Gen Operating Co-Wind,10597,Ridgetop Energy LLC,CA,93501,Kern,35.0697,-118.3167,WECC,2,IPP Non-CHP,N,,Y,92-55-000,N,,2020
16630,San Gorgonio Farms Inc,10718,Karen Avenue Wind Farm,CA,92258,Riverside,33.92194,-116.56222,WECC,2,IPP Non-CHP,N,,Y,85-121-000,N,,2020
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,MA,2152,Suffolk,42.353333,-70.962778,NPCC,5,Commercial CHP,N,,Y,89-80-000,N,,2020
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,MA,2152,Suffolk,42.353333,-70.962778,NPCC,5,Commercial CHP,N,,Y,89-80-000,N,,2020
11427,Massachusetts Wtr Rauth-Deer I,10823,Deer Island Treatment Plant,MA,2152,Suffolk,42.353333,-70.962778,NPCC,5,Commercial CHP,N,,Y,89-80-000,N,,2020
16625,San Diego State University,50061,San Diego State University,CA,92182,San Diego,32.778225,-117.070114,WECC,5,Commercial CHP,Y,85-626-000,N,,N,,2020
16625,San Diego State University,50061,San Diego State University,CA,92182,San Diego,32.778225,-117.070114,WECC,5,Commercial CHP,Y,85-626-000,N,,N,,2020
16625,San Diego State University,50061,San Diego State University,CA,92182,San Diego,32.778225,-117.070114,WECC,5,Commercial CHP,Y,85-626-000,N,,N,,2020
16625,San Diego State University,50061,San Diego State University,CA,92182,San Diego,32.778225,-117.070114,WECC,5,Commercial CHP,Y,85-626-000,N,,N,,2020
20707,Wintec Energy Ltd,50276,Wintec Energy Ltd,CA,92258,Riverside,33.9131,-116.5631,WECC,2,IPP Non-CHP,N,,Y,87-594-000,N,,2020
16630,San Gorgonio Farms Inc,50281,San Gorgonio Farms Wind Farm,CA,92282,Riverside,33.926111,-116.615,WECC,2,IPP Non-CHP,N,,Y,85-234-000;  85-235-000,N,,2020
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,91768,Los Angeles,34.059444,-117.774167,WECC,2,IPP Non-CHP,N,,N,,N,,2020
56899,Wind Stream Operations LLC,50532,Victory Garden (Tehachapi),CA,93561,Kern,35.0686,-118.3833,WECC,2,IPP Non-CHP,N,,Y,83-48-000,N,,2020
56899,Wind Stream Operations LLC,50532,Victory Garden (Tehachapi),CA,93561,Kern,35.0686,-118.3833,WECC,2,IPP Non-CHP,N,,Y,83-48-000,N,,2020
63235,Brookfield Renewable Trading and Marketing LP,50535,Mesa Wind Power Corp,CA,92258,Riverside,33.9461,-116.6769,WECC,2,IPP Non-CHP,N,,Y,85-738-000; 85-263-000,N,,2020
61728,GlidePath Power Operations LLC,50552,GPS Cabazon Wind LLC,CA,92230,Riverside,33.914986,-116.71026,WECC,2,IPP Non-CHP,N,,N,,N,,2020
61208,"Red Marlin Wind Ventures, LLC",50553,Edom Hills Project 1 LLC,CA,92235,Riverside,33.881667,-116.460278,WECC,2,IPP Non-CHP,N,,Y,06-117-001,N,,2020
2770,Terra-Gen Operating Co-Wind,50690,San Gorgonio Westwinds II LLC,CA,92258,Riverside,33.934,-116.5781,WECC,2,IPP Non-CHP,N,,Y,85-188-001; 85-8-01; 89-344-001,N,,2020
13938,Oak Creek Energy System Inc II,50754,Oak Creek Energy Systems I,CA,93501,Kern,35.043889,-118.276388,WECC,2,IPP Non-CHP,N,,Y,99-66-000,N,,2020
