Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
56537,1,24,Suzlon,S88-2100,16.3,2,262.4,2020
56538,1,4,Suzlon,S64-1250,12.8,2,244.4,2020
56543,1,8,Suzlon,S64-950,17.0,3,213.0,2020
56544,1,12,Suzlon,S64-1250,17.0,2,213.0,2020
56555,1,27,Suzlon,S88-2100,15.1,2,262.4,2020
56560,JDW4,38,Suzlon,S88-2100,19.1,2,262.4,2020
56561,JDW5,8,Suzlon,S64-1250,20.0,2,244.4,2020
56562,JDW6,8,Suzlon,S64-1250,20.0,2,244.4,2020
56563,GE,133,GE,1.5 SLE,19.0,2,262.5,2020
56570,WGNS,10,Zond,Z-50,22.4,1,180.0,2020
56573,2,32,GE,1.5 S,19.0,2,262.5,2020
56575,1,8,Clipper,Liberty C96,19.0,2,262.4,2020
56577,1,1,Suzlon,S88-2100,16.8,2,262.4,2020
56580,1,1,Suzlon,S64-1250,15.2,2,244.4,2020
56581,1,1,Suzlon,S64-1250,15.2,2,244.4,2020
56586,1,1,Suzlon,S64-1250,17.9,2,244.4,2020
56587,1,1,Suzlon,S64-1250,17.9,2,244.4,2020
56588,1,1,Suzlon,S64-1250,17.9,2,244.4,2020
56589,1,1,Suzlon,S64-1250,17.9,2,244.4,2020
56590,1,1,Suzlon,S64-1250,17.9,2,244.4,2020
56591,HBWP,6,GE,1.5 SLE,19.0,2,262.5,2020
56592,CH1,55,Siemens,SWT-2.3-93,18.6,2,262.4,2020
56593,RO1,209,Mitsubishi,MWT-1000A,18.3,2,226.4,2020
56594,MU1,23,GE,1.5 SLE,15.9,2,262.4,2020
56602,SNY1,21,Vestas,V90-3.0,24.0,2,328.0,2020
56605,GE15,106,GE,1.5 SLE,19.0,2,262.5,2020
56607,ND1,77,GE,1.5 SLE,22.4,2,262.5,2020
56608,SD1,100,GE,1.5 SLE,22.4,2,262.5,2020
56608,SD2,7,GE,1.5 SLE,22.4,2,262.5,2020
56608,SD3,1,GE,1.5 SLE,22.4,2,262.5,2020
56613,1,134,GE,1.5 SLE,19.0,2,262.5,2020
56614,2,120,Vestas,V82-1.65,19.0,2,262.0,2020
56617,1,137,GE,1.5 SLE,19.0,2,262.4,2020
56618,1,67,GE,1.5 SLE,19.0,2,262.0,2020
56619,1,54,GE,1.5 SLE,19.0,2,262.0,2020
56620,1,67,GE,1.5 SLE,19.0,2,262.0,2020
56621,1,45,Suzlon,S88-2100,19.0,2,262.4,2020
56622,1,36,Gamesa,G87-2.0,15.7,3,256.0,2020
56623,EH1,61,Vestas,V82-1.65,17.0,2,240.0,2020
56624,1,2,Suzlon,S88-2100,17.5,3,262.4,2020
56625,1,2,Suzlon,S88-2100,17.5,2,262.4,2020
56626,1,2,Suzlon,S88-2100,17.5,2,262.4,2020
56627,1,2,Suzlon,S88-2100,17.5,2,262.4,2020
56628,1,2,Suzlon,S88-2100,17.5,2,262.4,2020
56630,1,10,Clipper,Liberty C96,20.0,2,262.4,2020
56633,1,15,Clipper,Liberty C96,19.0,2,262.4,2020
56634,1,35,Clipper,Liberty C96,19.0,2,262.4,2020
56635,1,32,Vestas,V82-1.65,14.4,2,262.4,2020
56636,1,10,Suzlon,S88-2100,15.0,2,262.4,2020
56637,1,10,Suzlon,S88-2100,15.0,2,262.4,2020
56638,GEN1,74,Siemens,SWT-1.3-62,17.0,1,262.0,2020
56640,1,100,GE,1.5 SLE,15.5,2,262.0,2020
56644,1,80,GE,1.5 SLE,17.4,2,263.0,2020
56645,CL25,40,Clipper,Liberty C96,19.0,2,262.4,2020
56647,1,36,GE,1.5 XLE,16.8,3,262.5,2020
56648,1,53,GE,1.5 SLE,19.0,2,262.5,2020
56649,1,44,Siemens,SWT-2.3-93,20.0,2,240.0,2020
56650,1,34,GE,1.5 SLE,19.0,2,262.5,2020
56651,1,35,Gamesa,G87-2.0,14.9,2,272.0,2020
56654,1,44,Siemens,SWT-2.3-93,19.0,2,262.4,2020
56659,1,50,Vestas,V100-1.8,15.4,3,311.7,2020
56661,1,118,Mitsubishi,MWT-95/2.4,19.0,2,262.4,2020
56665,DR,66,Gamesa,G90-2.0,24.6,2,255.9,2020
56666,1,47,Vestas,V110-2.0,19.0,2,285.4,2020
56669,TW1,120,Acciona,AW77/1500,18.8,2,262.4,2020
56670,VW1,18,Vestas,V47-660,19.0,2,215.0,2020
56673,WEC,26,Siemens,SWT-2.3-93,17.7,2,262.4,2020
56677,CCWF,50,GE,1.6-87,16.8,3,263.0,2020
56679,1,87,GE,1.5 SLE,15.4,2,262.0,2020
56699,1,14,Suzlon,S88-2100,19.0,2,262.4,2020
56700,1,18,Suzlon,S88-2100,19.0,2,262.4,2020
56702,WPT1,62,Siemens,SWT-2.3-93,16.5,3,262.4,2020
56750,1,20,Clipper,Liberty C96,18.3,2,262.4,2020
56751,1,9,Suzlon,S88-2100,19.0,2,262.4,2020
56752,1,29,Suzlon,S88-2100,19.0,2,262.4,2020
56753,1,38,Suzlon,S88-2100,19.0,2,262.4,2020
56754,1,80,Mitsubishi,MWT-1000A,19.0,2,226.0,2020
56754,2,29,Mitsubishi,MWT-95/2.4,19.0,2,262.4,2020
56755,1,10,Suzlon,S88-2100,19.0,2,262.4,2020
56763,1,65,GE,1.5 SLE,19.0,2,262.4,2020
56763,2,143,Siemens,SWT-2.3-82,19.0,2,262.4,2020
56763,3,124,GE,1.5 SLE,19.0,2,262.4,2020
56763,4,75,GE,1.5 SLE,19.0,2,262.4,2020
56764,1,10,Gamesa,G87-2.0,18.3,2,262.0,2020
