Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
63006,AGA TAG Solar IV LLC,63225.0,AGA TAG Solar IV LLC,NC,Brunswick,PV1,Solar Photovoltaic,PV,,S,4.9, ,4.8,4.8, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62998,Cox Enterprises,63229.0,Manheim New Jersey,NJ,Burlington,NJSGR,Solar Photovoltaic,PV,,S,0.8,1,0.8,0.8, ,OP,X,6.0,2013.0,Commercial Non-CHP,4.0,2020
62998,Cox Enterprises,63229.0,Manheim New Jersey,NJ,Burlington,NJSRO,Solar Photovoltaic,PV,,S,1.4,1,1.4,1.4, ,OP,X,6.0,2009.0,Commercial Non-CHP,4.0,2020
62994,"Dynamic Energy Solutions, LLC",63230.0,Knaggs Brothers Farm,NY,Albany,KNAGG,Solar Photovoltaic,PV,,S,3.9, ,3.9,0.5, ,OP,X,12.0,2018.0,Industrial Non-CHP,6.0,2020
63001,"MN CSG 2, LLC",63231.0,Woodbury Solar,MN,Washington,PV,Solar Photovoltaic,PV,,S,3.0, ,3,3, ,OP,X,7.0,2020.0,IPP Non-CHP,2.0,2020
62994,"Dynamic Energy Solutions, LLC",63232.0,Brookfield Wire Company,MA,Worcester,BROOK,Solar Photovoltaic,PV,,W,1.4, ,1.4,0.2, ,OP,X,6.0,2016.0,Industrial Non-CHP,6.0,2020
62992,O'Neill Creek Solar LLC,63235.0,O'Neill Creek Solar,OR,Washington,OCPV1,Solar Photovoltaic,PV,,S,2.2,1,2.2,2.2, ,OP,X,11.0,2019.0,IPP Non-CHP,2.0,2020
62999,"Old Court Rd Solar, LLC",63237.0,Old Court Rd Solar,MD,Howard,OLDCT,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,10.0,2019.0,IPP Non-CHP,2.0,2020
58135,Ecos Energy LLC,63239.0,Sherman Solar,CT,New London,SHRM,Solar Photovoltaic,PV,,S,1.0,0.99,1,1, ,OA,X,12.0,2019.0,IPP Non-CHP,2.0,2020
58135,Ecos Energy LLC,63240.0,Jackson Solar (CT),CT,New London,JACK,Solar Photovoltaic,PV,,S,1.0,0.99,1,1, ,OA,X,12.0,2019.0,IPP Non-CHP,2.0,2020
63016,Limelight Solar II LLC,63241.0,Limelight Solar II LLC,SC,Spartanburg,SCLL,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
63018,ATOOD Solar III LLC,63242.0,ATOOD Solar III LLC,SC,Spartanburg,SCAT,Solar Photovoltaic,PV,,S,2.0,0.95,2,2, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
63019,AGA TAG Solar III LLC,63243.0,AGA TAG Solar III LLC,SC,Spartanburg,SCAG,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,8.0,2020.0,IPP Non-CHP,2.0,2020
58135,Ecos Energy LLC,63244.0,Sydney Solar,CT,Windham,SYDN,Solar Photovoltaic,PV,,S,2.0,0.99,2,2, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
